1.1.1.1.1	DINAS PENDIDIKAN DAN KEBUDAYAAN
1.1.1.4.31	TK SATAP KAWUNEN
1.1.1.4.32	TK SATAP PEMBINA CIGOONG
1.1.1.4.33	TK NEGERI PEDESAAN
1.1.1.4.34	TK PEMBINA KECAMATAN WALANTAKA
1.1.1.4.35	TK SATAP NYAPAH 3
1.1.1.5.1	UPTD KEC. CIPOCOK
1.1.1.5.2	SDN BANJAR AGUNG 1
1.1.1.5.3	SDN BANJAR AGUNG 2
1.1.1.5.4	SDN BANJAR AGUNG 3
1.1.1.5.5	SDN BANJAR AGUNG 4
1.1.1.5.6	SDN BANJARSARI 1
1.1.1.5.7	SDN BANJARSARI 2
1.1.1.5.8	SDN BANJARSARI 3
1.1.1.5.9	SDN BANJARSARI 4
1.1.1.5.10	SDN BANJARSARI 5
1.1.1.5.11	SDN CIPOCOK JAYA 1
1.1.1.5.12	SDN CIPOCOK JAYA 2
1.1.1.5.13	SDN CIPOCOK JAYA 3
1.1.1.5.14	SDN CIPOCOK JAYA 4
1.1.1.5.15	SDN DALUNG
1.1.1.5.16	SDN GELAM 1
1.1.1.5.17	SDN GELAM 2
1.1.1.5.18	SDN GELAM 3
1.1.1.5.19	SDN GELAM 4
1.1.1.5.20	SDN KARUNDANG 1
1.1.1.5.21	SDN KARUNDANG 2
1.1.1.5.22	SDN PANANCANGAN 1
1.1.1.5.23	SDN PANANCANGAN 2
1.1.1.5.24	SDN PANANCANGAN 3
1.1.1.5.25	SDN PANANCANGAN 4
1.1.1.5.26	SDN PANANCANGAN 5
1.1.1.5.27	SDN TEMBONG 1
1.1.1.5.28	SDN TEMBONG 2
1.1.1.5.29	SDN TEMBONG 3
1.1.1.5.30	TK NEGERI PEMBINA KOTA SERANG
1.1.1.5.31	TK NEGERI SATAP TEMBONG 1
1.1.1.5.32	TK NEGERI SATAP TEMBONG 3
1.1.1.5.33	TK NEGERI PEMBINA KECAMATAN CIPOCOK JAYA
1.1.1.5.34	TK NEGERI SATAP GELAM 3
1.1.1.6.1	UPTD KEC. CURUG
1.1.1.6.2	SD NEGERI CURUGMANIS
1.1.1.6.3	SD NEGERI CIEMAS
1.1.1.6.4	SD NEGERI CILAKU
1.1.1.6.5	SD NEGERI CIPETE 1
1.1.1.6.6	SD NEGERI CIPETE 2
1.1.1.6.7	SD NEGERI CIPETE 3
1.1.1.6.8	SD NEGERI CISANGKU
1.1.1.6.9	SD NEGERI CURUG
1.1.1.6.10	SD NEGERI GADARAHA
1.1.1.6.11	SD NEGERI GOWOK
1.1.1.6.12	SD NEGERI KAMANISAN
