131	01.01.11.01.003	Tanah Bangunan Rumah Negara Gol III
132	01.01.11.01.004	Tanah Bangunan Rumah Negara Tanpa Golongan
133	01.01.11.01.005	Tanah Bangunan Mess/Wisma/Asrama
134	01.01.11.01.006	Tanah Bangunan Peristirahatan/Bungalow/Cottage
135	01.01.11.01.007	Tanah Bangunan Rumah Penjaga
136	01.01.11.01.008	Tanah Bangunan Rumah LP
137	01.01.11.01.009	Tanah Bangunan Rumah Tahanan/Rutan
138	01.01.11.01.010	Tanah Bangunan Rumah Fasilitas Tempat Tinggal Lain
139	01.01.11.01.011	Tanah Bangunan Perumahan Lain-lain
140	01.01.11.02.001	Tanah Bangunan Pasar
141	01.01.11.02.002	Tanah Bangunan Pertokoan/Rumah Toko
142	01.01.11.02.003	Tanah Bangunan Gedung
143	01.01.11.02.004	Tanah Bangunan Stasiun Kereta Api
144	01.01.11.02.005	Tanah Bangunan Bioskop
145	01.01.11.02.006	Tanah Bangunan Hotel/Penginapan
146	01.01.11.02.007	Tanah Bangunan Terminal Darat
147	01.01.11.02.008	Tanah Bangunan Terminal Laut
148	01.01.11.02.009	Tanah Bangunan Terminal Udara
149	01.01.11.02.010	Tanah Bangunan Gedung Kesenian
150	01.01.11.02.011	Tanah Bangunan Gedung Pameran
151	01.01.11.02.012	Tanah Bangunan Gedung Pusat Perbelanjaan
152	01.01.11.02.013	Tanah Bangunan Apotik
153	01.01.11.02.014	Tanah Bangunan Gedung Perdaganagan Lainnya
154	01.01.11.02.015	Tanah Utk Bangunan Gd. Perdagangan Lain-lain
155	01.01.11.03.001	Tanah Bangunan Industri Makanan
156	01.01.11.03.002	Tanah Bangunan Industri Minuman
157	01.01.11.03.003	Tanah Bangunan Industri/Alat RT
158	01.01.11.03.004	Tanah Bangunan Industri Pakaian/Garment
159	01.01.11.03.005	Tanah Bangunan Industri Besi/Logam
160	01.01.11.03.006	Tanah Bangunan Industri Baja
161	01.01.11.03.007	Tanah Bangunan Industri Pengelengan
162	01.01.11.03.008	Tanah Bangunan Industri Bengkel
163	01.01.11.03.009	Tanah Bangunan Industri Penyulingan Minyak
164	01.01.11.03.010	Tanah Bangunan Industri Semen
165	01.01.11.03.011	Tanah Bangunan Industri Batu Bata/Batako
166	01.01.11.03.012	Tanah Bangunan Industri Genteng
167	01.01.11.03.013	Tanah Bangunan Industri Percetakan
168	01.01.11.03.014	Tanah Bangunan Industri Tekstil
169	01.01.11.03.015	Tanah Bangunan Industri Obat-obatan
170	01.01.11.03.016	Tanah Bangunan Industri Alat Olah Raga
171	01.01.11.03.017	Tanah Bangunan Industri Kendraan/Otomotif
172	01.01.11.03.018	Tanah Bangunan Industri Persenjataan
173	01.01.11.03.019	Tanah Bangunan Industri Kapal Udara
174	01.01.11.03.020	Tanah Bangunan Industri Kapal Laut
175	01.01.11.03.021	Tanah Bangunan Industri Kapal Api
176	01.01.11.03.022	Tanah Bangunan Industri Keramik/Marmer
177	01.01.11.03.023	Tanah Bangunan Industri Lainnya
178	01.01.11.04.001	Tanah Bangunan Kantor Pemerintah
179	01.01.11.04.002	Tanah Bangunan Pendidikan dan Latihan (Sekolah)
180	01.01.11.04.003	Tanah Bangunan Rumah Sakit
181	01.01.11.04.004	Tanah Bangunan Apotik
182	01.01.11.04.005	Tanah Bangunan Tempat Ibadah
183	01.01.11.04.006	Tanah Bangunan Dermaga
184	01.01.11.04.007	Tanah Bangunan Pelabuhan Udara
185	01.01.11.04.008	Tanah Bangunan Olah Raga
186	01.01.11.04.009	Tanah Bangunan Taman/Wisata/Rekreasi
187	01.01.11.04.010	Tanah Bangunan Balai Sidang/Pertemuan
188	01.01.11.04.011	Tanah Bangunan Balai Nikah
189	01.01.11.04.012	Tanah Bangunan Puskesmas/Posyandu
190	01.01.11.04.013	Tanah Bangunan Poliklinik
191	01.01.11.04.014	Tanah Bangunan Laboratorium
192	01.01.11.04.015	Tanah Bangunan Fumigasi/Sterilisasi
193	01.01.11.04.016	Tanah Bangunan Karantina
194	01.01.11.04.017	Tanah Bangunan Bangsal Pengolahan Pondok Kerja
195	01.01.11.04.018	Tanah Bangunan Kandang Hewan
196	01.01.11.04.019	Tanah Bangunan Pembibitan
197	01.01.11.04.020	Tanah Bangunan Rumah Pendingin
198	01.01.11.04.021	Tanah Bangunan Rumah Pengering
199	01.01.11.04.022	Tanah Bangunan Statiun Penelitian
200	01.01.11.04.023	Tanah Bangunan Gedung Pelelangan Ikan
