99	04.13.02.05.012	Jembatan pada jalan Fly Over
100	04.13.02.05.013	Jembatan Khusus Lain-lain
101	04.13.02.06.001	Jembatan Pada Jalan Arteri
102	04.13.02.06.002	Jembatan Jalan Tol Lain-lain
103	04.13.02.07.001	Jembatan Pada Jalan Kereta Api Bantalan Besi
104	04.13.02.07.002	Jembatan Pada Jalan Kereta Api Bantalan Beton
105	04.13.02.07.003	Jembatan Pada Jalan Kereta Api
106	04.13.02.07.004	Jembatan pada Jln Kereta Api Lain-lain
107	04.13.02.08.001	Jembatan Pada Landasan Pacu Pesawat Terbang Permukiman
108	04.13.02.08.002	Jembatan Pada Landasan Pacu Pesawat Terbang Permukiman
109	04.13.02.08.003	Jembatan pada Jalan Kereta Api
110	04.13.02.08.004	Jembatan pd Landasan Pacu pesawat Lain-lain
111	04.13.02.09.001	Jembatan Penyeberangan Orang
112	04.13.02.09.002	Jembatan Penyeberangan Kendaraan
113	04.13.02.09.003	Jembatan Penyebrangan Lain-lain
114	04.14.01.01.001	Waduk Bendungan tanggul Menara Pengambilan pelimpahan
115	04.14.01.01.002	Waduk Bendungan tanggul Menara Pengambilan
116	04.14.01.01.003	Waduk dengan Bend Menara Pengambilan
117	04.14.01.01.004	Waduk dengan Tgl dan Pintu Air Menara Pengambilan
118	04.14.01.01.005	Waduk dengan tgl Ointu Pengukur/Waduk Lapangan
119	04.14.01.01.006	Bangunan Waduk Lain-lain
120	04.14.01.02.001	Bendung
121	04.14.01.02.002	Bendung dengan Pintu Bilas
122	04.14.01.02.003	Bendung dengan Pompa
123	04.14.01.02.004	Bendungan Pengambilan Bebas
124	04.14.01.02.005	Bendungan Pengambilan Bebas dengan Pompa
125	04.14.01.02.006	Sumur dengan Pompa
126	04.14.01.02.007	Bangunan Pengambilan Irigasi Lain-lain
127	04.14.01.03.001	Saluran Muka
128	04.14.01.03.002	Saluran Induk
129	04.14.01.03.003	Saluran Sekunder
130	04.14.01.03.004	Saluran Tertier
131	04.14.01.03.005	Saluran Kawar Ter
132	04.14.01.03.006	Saluran Pasang Tertutup/terowngan
133	04.14.01.03.007	Saluran Sublesi
134	04.14.01.03.008	Bangunan Pembawa Irigasi Lain-lain
135	04.14.01.04.001	Saluran Induk Pembuang
136	04.14.01.04.002	Saluran Sekunder Pembuang
137	04.14.01.04.003	Saluran Tertier Pembuang
138	04.14.01.04.004	Bangunan Pembuang Irigasi Lain-lain
139	04.14.01.05.001	Tanggul Banjir
140	04.14.01.05.002	Bangunan Pintu Air/Klep
141	04.14.01.05.003	Bangunan Pengaman Irigasi Lain-lain
142	04.14.01.06.001	Bangunan Bagi
143	04.14.01.06.002	Bangunan Bagi dan Sadap
144	04.14.01.06.003	Bangunan Sadap
145	04.14.01.06.004	Bangunan Got Miring
146	04.14.01.06.005	Bangunan -bangunan Terjun
147	04.14.01.06.006	Bangunan Talang
148	04.14.01.06.007	Bangunan Sipon
149	04.14.01.06.008	Bangunan Gorong-gorong
150	04.14.01.06.009	Bangunan Pelipah Samping
151	04.14.01.06.010	Bangunan Qutiet
152	04.14.01.06.011	Bangunan Penahan Banjir
153	04.14.01.06.012	Bangunan Pengeluaran/Pintu
154	04.14.01.06.013	Bangunan Box Tersiar
155	04.14.01.06.014	Bangunan Pengukur
156	04.14.01.06.015	Bangunan Mandi Hewan
157	04.14.01.06.016	Bangunan Pertemuan Saluran
158	04.14.01.06.017	Bangunan Perlengkapan Dalam Petak Tersiar
159	04.14.01.06.018	Bangunan Jembatan
160	04.14.01.06.019	Bangunan Pelengkap Irigasi Lain-lain
